Pedido;Cliente;Producto;Cantidad;Importe;Fecha
;;Sofá de dos plazas;1.0;173.0;01/04/2026 11:21
;;Escritorio personalizable;1.0;750.0;01/04/2026 11:21
;;Lámpara de oficina;11.0;490.0;01/04/2026 11:21
;;Mesa grande para reuniones;3.0;450.0;01/04/2026 11:21
;;Silla de oficina;3.0;158.0;01/04/2026 11:21
;;Cajón;5.0;513.5;25/03/2026 11:21
;;Diseño interior virtual;40.0;3000.0;01/03/2026 11:21
;;Área de casa virtual;30.0;1147.5;01/03/2026 11:21
;;Pantallas de bloque acústico;27.0;7735.0;25/02/2026 11:21
;;Silla de oficina negra;27.0;3253.5;25/02/2026 11:21
